,FileName,ProjectCode,ProjectName,ProjectTypology,Location,Floor-Total-Above-Grade(SQFT),Floor-Total-Below-Grade(SQFT),Floor-Total-Conditioned-Grade(SQFT),Floor-Total-UnConditioned-Grade(SQFT),Wall-Total-Above-Grade(SQFT),Power Lighting Total(W),Equipment-Total(W),N-Wall-Area(SQFT),S-Wall-Area(SQFT),E-Wall-Area(SQFT),W-Wall-Area(SQFT),NE-Wall-Area(SQFT),NW-Wall-Area(SQFT),SE-Wall-Area(SQFT),SW-Wall-Area(SQFT),ROOF-AREA(SQFT),ALL WALLS-Wall-AREA(SQFT),WALLS+ROOFS-AREA(SQFT),UNDERGRND-Wall-AREA(SQFT),BUILDING-Wall-AREA(SQFT),N-Wall-U-Value(BTU/HR-SQFT-F),S-Wall-U-Value(BTU/HR-SQFT-F),E-Wall-U-Value(BTU/HR-SQFT-F),W-Wall-U-Value(BTU/HR-SQFT-F),NE-Wall-U-Value(BTU/HR-SQFT-F),NW-Wall-U-Value(BTU/HR-SQFT-F),SE-Wall-U-Value(BTU/HR-SQFT-F),SW-Wall-U-Value(BTU/HR-SQFT-F),ROOF-U-Value(BTU/HR-SQFT-F),ALL WALLS-Wall-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-U-Value(BTU/HR-SQFT-F),UNDERGRND-Wall-U-Value(BTU/HR-SQFT-F),BUILDING-Wall-U-Value(BTU/HR-SQFT-F),N-Window-Area(SQFT),S-Window-Area(SQFT),E-Window-Area(SQFT),W-Window-Area(SQFT),NE-Window-Area(SQFT),NW-Window-Area(SQFT),SE-Window-Area(SQFT),SW-Window-Area(SQFT),ROOF-Window-Area(SQFT),ALL WALLS-Window-AREA(SQFT),WALLS+ROOFS-Window-AREA(SQFT),UNDERGRND-Window-AREA(SQFT),BUILDING-Window-AREA(SQFT),N-Window-U-Value(BTU/HR-SQFT-F),S-Window-U-Value(BTU/HR-SQFT-F),E-Window-U-Value(BTU/HR-SQFT-F),W-Window-U-Value(BTU/HR-SQFT-F),NE-Window-U-Value(BTU/HR-SQFT-F),NW-Window-U-Value(BTU/HR-SQFT-F),SE-Window-U-Value(BTU/HR-SQFT-F),SW-Window-U-Value(BTU/HR-SQFT-F),ROOF-Window-U-Value(BTU/HR-SQFT-F),ALL WALLS-Window-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-Window-U-Value(BTU/HR-SQFT-F),UNDERGRND-Window-U-Value(BTU/HR-SQFT-F),BUILDING-Window-U-Value(BTU/HR-SQFT-F),WALL CONDUCTION,ROOF CONDUCTION,WINDOW GLASS+FRM COND,WINDOW GLASS SOLAR,DOOR CONDUCTION,INTERNAL SURFACE COND,UNDERGROUND SURF COND,OCCUPANTS TO SPACE,LIGHT TO SPACE,EQUIPMENT TO SPACE,PROCESS TO SPACE,INFILTRATION,WWR,EFLH,R-VAL-W,R-VAL-R,R-VAL-Wind,TOTAL-LOAD(KW),SHGC,Energy_Outcome(KWH),Equip(W/Sqft),Light(W/Sqft),R-Value-Wall,R-Value-Roof,Energy_Saving_%
0,0_0_0_0_0_0_0_Again01,NA,NA,NA,new delhi,47846.1,0,33807.89999999999,14038.200000000003,23508.82,38638.775,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,306.23,50.69,1.08,1.04,0,0,0,117.25,26.17,38.93,0,7.06,0.010340799750902002,3012.0786633314447,8.264462809917356,16.129032258064516,0.8264462809917356,217.077,0.3333333333333333,656729,1.013427008679913,0.8075637303771885,,,0
1,0_0_0_0_0_0_1_Again01,NA,NA,NA,new delhi,47846.1,0,33807.89999999999,14038.200000000003,23508.82,38638.775,47846.1,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,306.23,50.69,1.08,1.04,0,0,0,117.25,26.17,38.45,0,7.06,0.010340799750902002,3008.327211523261,8.264462809917356,16.129032258064516,0.8264462809917356,215.078,0.3333333333333333,649950,1,0.8075637303771885,,,1.0322370414585011
2,0_0_0_0_0_0_2_Again01,NA,NA,NA,new delhi,47846.1,0,33807.89999999999,14038.200000000003,23508.82,38638.775,52630.71,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,306.23,50.69,1.08,1.04,0,0,0,117.25,26.17,42.29,0,7.06,0.010340799750902002,3045.6225482415366,8.264462809917356,16.129032258064516,0.8264462809917356,220.505,0.3333333333333333,674431,1.1,0.8075637303771885,,,-2.695480175232097
3,0_0_0_0_0_0_3_Again01,NA,NA,NA,new delhi,47846.1,0,33807.89999999999,14038.200000000003,23508.82,38638.775,57415.31999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,306.23,50.69,1.08,1.04,0,0,0,117.25,26.17,46.14,0,7.06,0.010340799750902002,3080.9978223536286,8.264462809917356,16.129032258064516,0.8264462809917356,225.932,0.3333333333333333,698878,1.2,0.8075637303771885,,,-6.418020218385362
4,0_0_0_0_0_0_4_Again01,NA,NA,NA,new delhi,47846.1,0,33807.89999999999,14038.200000000003,23508.82,38638.775,62199.93000000001,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,306.23,50.69,1.08,1.04,0,0,0,117.25,26.17,49.98,0,7.06,0.010340799750902002,3114.8426694329182,8.264462809917356,16.129032258064516,0.8264462809917356,231.36,0.3333333333333333,723359,1.3000000000000003,0.8075637303771885,,,-10.14573743507596
5,0_0_0_0_0_0_5_Again01,NA,NA,NA,new delhi,47846.1,0,33807.89999999999,14038.200000000003,23508.82,38638.775,66984.54,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,306.23,50.69,1.08,1.04,0,0,0,117.25,26.17,53.83,0,7.06,0.010340799750902002,3147.1447756277607,8.264462809917356,16.129032258064516,0.8264462809917356,236.794,0.3333333333333333,747871,1.4,0.8075637303771885,,,-13.878175015874127
6,0_0_0_0_0_3_0_Again01,NA,NA,NA,new delhi,47846.1,0,33807.89999999999,14038.200000000003,23508.82,38638.775,48488.52999999999,5103.86,4983.06,2016.98,2184.27,1086.22,,85.19,992.97,47846.23,16452.55,64298.78,,112145.03,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.077,,0.388,2189,2137.16,865.17,936.71,465.84,,36.45,425.94,0,7056.27,7056.27,,7056.27,0.45,0.45,0.45,0.45,0.45,,0.45,0.45,0,0.45,0.45,,0.45,300.24,50.45,11.91,19.61,0,0,0,116.95,26.02,38.83,0,7.06,0.30015415490866837,2988.1713398548886,8.264462809917356,16.129032258064516,2.2222222222222223,224.793,0.5977011494252873,674708,1.013427008679913,0.8075637303771885,,,-2.7376589125803794
7,0_0_0_0_0_4_0_Again01,NA,NA,NA,new delhi,47846.1,0,33807.89999999999,14038.200000000003,23508.82,38638.775,48488.52999999999,4374.99,4271.32,1729.03,1872.25,931.13,,73,851.11,47846.23,14102.84,61949.07,,109795.33,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.076,,0.394,2917.87,2848.89,1153.12,1248.73,620.92,,48.64,567.8,0,9405.97,9405.97,,9405.97,0.45,0.45,0.45,0.45,0.45,,0.45,0.45,0,0.45,0.45,,0.45,298.17,50.36,15.79,25.89,0,0,0,116.84,25.96,38.8,0,7.06,0.400103875907,2976.871488286613,8.264462809917356,16.129032258064516,2.2222222222222223,227.987,0.5977011494252874,681728,1.013427008679913,0.8075637303771885,,,-3.8065929782299857
8,0_0_0_0_1_0_0_Again01,NA,NA,NA,new delhi,47846.1,0,33807.89999999999,14038.200000000003,23508.82,14353.829999999998,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,306.23,50.69,1.08,1.04,0,0,0,117.25,9.69,38.93,0,7.06,0.010340799750902002,3002.3350291350357,8.264462809917356,16.129032258064516,0.8264462809917356,189.291,0.3333333333333333,571432,1.013427008679913,0.3,,,12.988157976882398
9,0_0_0_0_2_0_0_Again01,NA,NA,NA,new delhi,47846.1,0,33807.89999999999,14038.200000000003,23508.82,19138.440000000006,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,306.23,50.69,1.08,1.04,0,0,0,117.25,12.92,38.93,0,7.06,0.010340799750902002,3004.992518934038,8.264462809917356,16.129032258064516,0.8264462809917356,194.491,0.3333333333333333,587521,1.013427008679913,0.40000000000000013,,,10.538289005053834
