,FileName,ProjectName,ProjectTypology,Location,Floor-Total-Above-Grade(SQFT),Floor-Total-Below-Grade(SQFT),Floor-Total-Conditioned-Grade(SQFT),Floor-Total-UnConditioned-Grade(SQFT),Wall-Total-Above-Grade(SQFT),Power Lighting Total(W),Equipment-Total(W),N-Wall-Area(SQFT),S-Wall-Area(SQFT),E-Wall-Area(SQFT),W-Wall-Area(SQFT),NE-Wall-Area(SQFT),NW-Wall-Area(SQFT),SE-Wall-Area(SQFT),SW-Wall-Area(SQFT),ROOF-AREA(SQFT),ALL WALLS-Wall-AREA(SQFT),WALLS+ROOFS-AREA(SQFT),UNDERGRND-Wall-AREA(SQFT),BUILDING-Wall-AREA(SQFT),N-Wall-U-Value(BTU/HR-SQFT-F),S-Wall-U-Value(BTU/HR-SQFT-F),E-Wall-U-Value(BTU/HR-SQFT-F),W-Wall-U-Value(BTU/HR-SQFT-F),NE-Wall-U-Value(BTU/HR-SQFT-F),NW-Wall-U-Value(BTU/HR-SQFT-F),SE-Wall-U-Value(BTU/HR-SQFT-F),SW-Wall-U-Value(BTU/HR-SQFT-F),ROOF-U-Value(BTU/HR-SQFT-F),ALL WALLS-Wall-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-U-Value(BTU/HR-SQFT-F),UNDERGRND-Wall-U-Value(BTU/HR-SQFT-F),BUILDING-Wall-U-Value(BTU/HR-SQFT-F),N-Window-Area(SQFT),S-Window-Area(SQFT),E-Window-Area(SQFT),W-Window-Area(SQFT),NE-Window-Area(SQFT),NW-Window-Area(SQFT),SE-Window-Area(SQFT),SW-Window-Area(SQFT),ROOF-Window-Area(SQFT),ALL WALLS-Window-AREA(SQFT),WALLS+ROOFS-Window-AREA(SQFT),UNDERGRND-Window-AREA(SQFT),BUILDING-Window-AREA(SQFT),N-Window-U-Value(BTU/HR-SQFT-F),S-Window-U-Value(BTU/HR-SQFT-F),E-Window-U-Value(BTU/HR-SQFT-F),W-Window-U-Value(BTU/HR-SQFT-F),NE-Window-U-Value(BTU/HR-SQFT-F),NW-Window-U-Value(BTU/HR-SQFT-F),SE-Window-U-Value(BTU/HR-SQFT-F),SW-Window-U-Value(BTU/HR-SQFT-F),ROOF-Window-U-Value(BTU/HR-SQFT-F),ALL WALLS-Window-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-Window-U-Value(BTU/HR-SQFT-F),UNDERGRND-Window-U-Value(BTU/HR-SQFT-F),BUILDING-Window-U-Value(BTU/HR-SQFT-F),WALL CONDUCTION,ROOF CONDUCTION,WINDOW GLASS+FRM COND,WINDOW GLASS SOLAR,DOOR CONDUCTION,INTERNAL SURFACE COND,UNDERGROUND SURF COND,OCCUPANTS TO SPACE,LIGHT TO SPACE,EQUIPMENT TO SPACE,PROCESS TO SPACE,INFILTRATION,WALL CONDUCTION_loss,ROOF CONDUCTION_loss,WINDOW GLASS+FRM COND_loss,WINDOW GLASS SOLAR_loss,DOOR CONDUCTION_loss,INTERNAL SURFACE COND_loss,UNDERGROUND SURF COND_loss,OCCUPANTS TO SPACE_loss,LIGHT TO SPACE_loss,EQUIPMENT TO SPACE_loss,PROCESS TO SPACE_loss,INFILTRATION_loss,TOTAL-LOAD(KW)_loss,WWR,EFLH,R-VAL-W,R-VAL-R,R-VAL-Wind,TOTAL-LOAD(KW),SHGC,Energy_Outcome(KWH)
0,0_0_0_0_0_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.07,0.95,0,0,0,117.25,26.17,38.93,0,7.41,-362.336,-24.948,-2.139,0.013,0,0,0,1.909,2.688,17.782,0,-78.003,-445.036,0.010340799750902002,3231.2169217565443,8.264462809917356,16.129032258064516,0.8264462809917356,223.712,0.3333333333333333,722862
1,0_0_0_0_0_0_1_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,47846.1,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.07,0.95,0,0,0,117.25,26.17,38.45,0,7.41,-362.336,-24.948,-2.139,0.013,0,0,0,1.909,2.688,17.566,0,-78.003,-445.251,0.010340799750902002,3232.230419823546,8.264462809917356,16.129032258064516,0.8264462809917356,221.474,0.3333333333333333,715855
2,0_0_0_0_0_0_2_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,52630.71,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.07,0.95,0,0,0,117.25,26.17,42.29,0,7.41,-362.336,-24.948,-2.139,0.013,0,0,0,1.909,2.688,19.323,0,-78.003,-443.495,0.010340799750902002,3264.2782535114434,8.264462809917356,16.129032258064516,0.8264462809917356,226.901,0.3333333333333333,740668
3,0_0_0_0_0_0_3_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,57415.31999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.07,0.95,0,0,0,117.25,26.17,46.14,0,7.41,-362.336,-24.948,-2.139,0.013,0,0,0,1.909,2.688,21.079,0,-78.003,-441.738,0.010340799750902002,3294.8891222754037,8.264462809917356,16.129032258064516,0.8264462809917356,232.328,0.3333333333333333,765495
4,0_0_0_0_0_0_4_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,62199.93000000001,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.07,0.95,0,0,0,117.25,26.17,49.98,0,7.41,-362.336,-24.948,-2.139,0.013,0,0,0,1.909,2.688,22.836,0,-78.003,-439.982,0.010340799750902002,3324.1291418861515,8.264462809917356,16.129032258064516,0.8264462809917356,237.754,0.3333333333333333,790325
5,0_0_0_0_0_0_5_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,66984.54,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.07,0.95,0,0,0,117.25,26.17,53.83,0,7.41,-362.336,-24.948,-2.139,0.013,0,0,0,1.909,2.688,24.592,0,-78.003,-438.225,0.010340799750902002,3352.2636147927606,8.264462809917356,16.129032258064516,0.8264462809917356,243.173,0.3333333333333333,815180
6,0_0_0_0_0_3_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,5103.86,4983.06,2016.98,2184.27,1086.22,,85.19,992.97,47846.23,16452.55,64298.78,,112145.03,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.077,,0.388,2189,2137.16,865.17,936.71,465.84,,36.45,425.94,0,7056.27,7056.27,,7056.27,0.45,0.45,0.45,0.45,0.45,,0.45,0.45,0,0.45,0.45,,0.45,302.63,51.37,11.91,18.65,0,0,0,116.95,26.02,38.83,0,7.41,-353.537,-24.788,-23.632,0.5,0,0,0,1.848,2.644,17.723,0,-78.003,-457.246,0.30015415490866837,3203.03317535545,8.264462809917356,16.129032258064516,2.2222222222222223,232.1,0.5977011494252873,743424
7,0_0_0_0_0_4_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,4374.99,4271.32,1729.03,1872.25,931.13,,73,851.11,47846.23,14102.84,61949.07,,109795.33,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.076,,0.394,2917.87,2848.89,1153.12,1248.73,620.92,,48.64,567.8,0,9405.97,9405.97,,9405.97,0.45,0.45,0.45,0.45,0.45,,0.45,0.45,0,0.45,0.45,,0.45,300.63,51.28,15.79,24.59,0,0,0,116.84,25.96,38.8,0,7.41,-350.5,-24.73,-31.369,0.659,0,0,0,1.827,2.629,17.702,0,-78.003,-461.785,0.400103875907,3190.581959798355,8.264462809917356,16.129032258064516,2.2222222222222223,235.463,0.5977011494252874,751264
8,0_0_0_0_1_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,14353.829999999998,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.07,0.95,0,0,0,117.25,9.69,38.93,0,7.41,-362.556,-24.992,-2.139,0.011,0,0,0,1.564,1.268,17.739,0,-78.003,-447.108,0.010340799750902002,3246.514478320821,8.264462809917356,16.129032258064516,0.8264462809917356,195.81,0.3333333333333333,635700
9,0_0_0_0_2_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,19138.440000000006,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.07,0.95,0,0,0,117.25,12.92,38.93,0,7.41,-362.556,-24.992,-2.139,0.011,0,0,0,1.564,1.691,17.739,0,-78.003,-446.686,0.010340799750902002,3243.7831734045676,8.264462809917356,16.129032258064516,0.8264462809917356,201.027,0.3333333333333333,652088
