,FileName,ProjectName,ProjectTypology,Location,Floor-Total-Above-Grade(SQFT),Floor-Total-Below-Grade(SQFT),Floor-Total-Conditioned-Grade(SQFT),Floor-Total-UnConditioned-Grade(SQFT),Wall-Total-Above-Grade(SQFT),Power Lighting Total(W),Equipment-Total(W),N-Wall-Area(SQFT),S-Wall-Area(SQFT),E-Wall-Area(SQFT),W-Wall-Area(SQFT),NE-Wall-Area(SQFT),NW-Wall-Area(SQFT),SE-Wall-Area(SQFT),SW-Wall-Area(SQFT),ROOF-AREA(SQFT),ALL WALLS-Wall-AREA(SQFT),WALLS+ROOFS-AREA(SQFT),UNDERGRND-Wall-AREA(SQFT),BUILDING-Wall-AREA(SQFT),N-Wall-U-Value(BTU/HR-SQFT-F),S-Wall-U-Value(BTU/HR-SQFT-F),E-Wall-U-Value(BTU/HR-SQFT-F),W-Wall-U-Value(BTU/HR-SQFT-F),NE-Wall-U-Value(BTU/HR-SQFT-F),NW-Wall-U-Value(BTU/HR-SQFT-F),SE-Wall-U-Value(BTU/HR-SQFT-F),SW-Wall-U-Value(BTU/HR-SQFT-F),ROOF-U-Value(BTU/HR-SQFT-F),ALL WALLS-Wall-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-U-Value(BTU/HR-SQFT-F),UNDERGRND-Wall-U-Value(BTU/HR-SQFT-F),BUILDING-Wall-U-Value(BTU/HR-SQFT-F),N-Window-Area(SQFT),S-Window-Area(SQFT),E-Window-Area(SQFT),W-Window-Area(SQFT),NE-Window-Area(SQFT),NW-Window-Area(SQFT),SE-Window-Area(SQFT),SW-Window-Area(SQFT),ROOF-Window-Area(SQFT),ALL WALLS-Window-AREA(SQFT),WALLS+ROOFS-Window-AREA(SQFT),UNDERGRND-Window-AREA(SQFT),BUILDING-Window-AREA(SQFT),N-Window-U-Value(BTU/HR-SQFT-F),S-Window-U-Value(BTU/HR-SQFT-F),E-Window-U-Value(BTU/HR-SQFT-F),W-Window-U-Value(BTU/HR-SQFT-F),NE-Window-U-Value(BTU/HR-SQFT-F),NW-Window-U-Value(BTU/HR-SQFT-F),SE-Window-U-Value(BTU/HR-SQFT-F),SW-Window-U-Value(BTU/HR-SQFT-F),ROOF-Window-U-Value(BTU/HR-SQFT-F),ALL WALLS-Window-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-Window-U-Value(BTU/HR-SQFT-F),UNDERGRND-Window-U-Value(BTU/HR-SQFT-F),BUILDING-Window-U-Value(BTU/HR-SQFT-F),WALL CONDUCTION,ROOF CONDUCTION,WINDOW GLASS+FRM COND,WINDOW GLASS SOLAR,DOOR CONDUCTION,INTERNAL SURFACE COND,UNDERGROUND SURF COND,OCCUPANTS TO SPACE,LIGHT TO SPACE,EQUIPMENT TO SPACE,PROCESS TO SPACE,INFILTRATION,WALL CONDUCTION_loss,ROOF CONDUCTION_loss,WINDOW GLASS+FRM COND_loss,WINDOW GLASS SOLAR_loss,DOOR CONDUCTION_loss,INTERNAL SURFACE COND_loss,UNDERGROUND SURF COND_loss,OCCUPANTS TO SPACE_loss,LIGHT TO SPACE_loss,EQUIPMENT TO SPACE_loss,PROCESS TO SPACE_loss,INFILTRATION_loss,TOTAL-LOAD(KW)_loss,WWR,Equip(W/Sqft),Light(W/Sqft),EFLH,R-VAL-W,R-VAL-R,R-VAL-Wind,TOTAL-LOAD(KW),SHGC,Energy_Outcome(KWH)
0,0_0_0_0_0_0_0_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.65,126.75,592.93,239.35,0,0,0,1481.11,544.77,639.21,0,0,2.078,8.393,-282.873,66.241,0,0,0,0,19.566,22.253,0,0,-164.342,0.2657319041050323,1,0.7,2910.2912917647895,8.474576271186441,19.607843137254903,1.0893246187363834,4915.175,0.3333333333333333,14304587
1,0_0_0_0_0_0_10_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1924785.6900000006,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.65,126.75,592.93,239.35,0,0,0,1481.11,544.77,1214.49,0,0,2.103,8.301,-282.347,66.154,0,0,0,0,19.421,41.973,0,0,-144.396,0.2657319041050323,1.9,0.7,2986.396903603103,8.474576271186441,19.607843137254903,1.0893246187363834,5997.164,0.3333333333333333,17909920
2,0_0_0_0_0_0_11_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,2026090.1999999997,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.65,126.75,592.93,239.35,0,0,0,1481.11,544.77,1278.41,0,0,2.246,7.94,-279.509,65.42,0,0,0,0,18.837,42.854,0,0,-142.211,0.2657319041050323,2,0.7,2993.920045831413,8.474576271186441,19.607843137254903,1.0893246187363834,6116.329,0.3333333333333333,18311804
3,0_0_0_0_0_0_1_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.65,126.75,592.93,239.35,0,0,0,1481.11,544.77,639.21,0,0,2.078,8.393,-282.873,66.241,0,0,0,0,19.566,22.253,0,0,-164.342,0.2657319041050323,1,0.7,2910.2912917647895,8.474576271186441,19.607843137254903,1.0893246187363834,4915.175,0.3333333333333333,14304587
4,0_0_0_0_0_0_2_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1114349.6099999994,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.65,126.75,592.93,239.35,0,0,0,1481.11,544.77,703.13,0,0,2.078,8.393,-282.873,66.241,0,0,0,0,19.566,24.479,0,0,-162.117,0.2657319041050323,1.1,0.7,2919.711081135677,8.474576271186441,19.607843137254903,1.0893246187363834,5034.493,0.3333333333333333,14699271
5,0_0_0_0_0_0_3_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1215654.1199999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.65,126.75,592.93,239.35,0,0,0,1481.11,544.77,767.05,0,0,2.078,8.393,-282.873,66.241,0,0,0,0,19.566,26.704,0,0,-159.892,0.2657319041050323,1.2,0.7,2930.2816158019045,8.474576271186441,19.607843137254903,1.0893246187363834,5153.404,0.3333333333333333,15100917
6,0_0_0_0_0_0_4_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1316958.6299999997,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.65,126.75,592.93,239.35,0,0,0,1481.11,544.77,830.97,0,0,2.078,8.393,-282.873,66.241,0,0,0,0,19.566,28.929,0,0,-157.666,0.2657319041050323,1.3,0.7,2940.436176671473,8.474576271186441,19.607843137254903,1.0893246187363834,5270.8,0.3333333333333333,15498445
7,0_0_0_0_0_0_5_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1418263.1400000006,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.65,126.75,592.93,239.35,0,0,0,1481.11,544.77,894.89,0,0,2.09,8.347,-282.61,66.197,0,0,0,0,19.493,31.041,0,0,-155.441,0.2657319041050323,1.4,0.7,2945.7704091815717,8.474576271186441,19.607843137254903,1.0893246187363834,5396.113,0.3333333333333333,15895711
8,0_0_0_0_0_0_7_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1620872.1600000001,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.65,126.75,592.93,239.35,0,0,0,1481.11,544.77,1022.73,0,0,2.103,8.301,-282.347,66.154,0,0,0,0,19.421,35.345,0,0,-151.023,0.2657319041050323,1.6,0.7,2965.229791591802,8.474576271186441,19.607843137254903,1.0893246187363834,5632.408,0.3333333333333333,16701380
9,0_0_0_0_0_0_8_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1722176.6699999985,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.65,126.75,592.93,239.35,0,0,0,1481.11,544.77,1086.65,0,0,2.103,8.301,-282.347,66.154,0,0,0,0,19.421,37.554,0,0,-148.814,0.2657319041050323,1.7,0.7,2973.896762789633,8.474576271186441,19.607843137254903,1.0893246187363834,5751.279,0.3333333333333333,17103712
