,FileName,ProjectName,ProjectTypology,Location,Floor-Total-Above-Grade(SQFT),Floor-Total-Below-Grade(SQFT),Floor-Total-Conditioned-Grade(SQFT),Floor-Total-UnConditioned-Grade(SQFT),Wall-Total-Above-Grade(SQFT),Power Lighting Total(W),Equipment-Total(W),N-Wall-Area(SQFT),S-Wall-Area(SQFT),E-Wall-Area(SQFT),W-Wall-Area(SQFT),NE-Wall-Area(SQFT),NW-Wall-Area(SQFT),SE-Wall-Area(SQFT),SW-Wall-Area(SQFT),ROOF-AREA(SQFT),ALL WALLS-Wall-AREA(SQFT),WALLS+ROOFS-AREA(SQFT),UNDERGRND-Wall-AREA(SQFT),BUILDING-Wall-AREA(SQFT),N-Wall-U-Value(BTU/HR-SQFT-F),S-Wall-U-Value(BTU/HR-SQFT-F),E-Wall-U-Value(BTU/HR-SQFT-F),W-Wall-U-Value(BTU/HR-SQFT-F),NE-Wall-U-Value(BTU/HR-SQFT-F),NW-Wall-U-Value(BTU/HR-SQFT-F),SE-Wall-U-Value(BTU/HR-SQFT-F),SW-Wall-U-Value(BTU/HR-SQFT-F),ROOF-U-Value(BTU/HR-SQFT-F),ALL WALLS-Wall-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-U-Value(BTU/HR-SQFT-F),UNDERGRND-Wall-U-Value(BTU/HR-SQFT-F),BUILDING-Wall-U-Value(BTU/HR-SQFT-F),N-Window-Area(SQFT),S-Window-Area(SQFT),E-Window-Area(SQFT),W-Window-Area(SQFT),NE-Window-Area(SQFT),NW-Window-Area(SQFT),SE-Window-Area(SQFT),SW-Window-Area(SQFT),ROOF-Window-Area(SQFT),ALL WALLS-Window-AREA(SQFT),WALLS+ROOFS-Window-AREA(SQFT),UNDERGRND-Window-AREA(SQFT),BUILDING-Window-AREA(SQFT),N-Window-U-Value(BTU/HR-SQFT-F),S-Window-U-Value(BTU/HR-SQFT-F),E-Window-U-Value(BTU/HR-SQFT-F),W-Window-U-Value(BTU/HR-SQFT-F),NE-Window-U-Value(BTU/HR-SQFT-F),NW-Window-U-Value(BTU/HR-SQFT-F),SE-Window-U-Value(BTU/HR-SQFT-F),SW-Window-U-Value(BTU/HR-SQFT-F),ROOF-Window-U-Value(BTU/HR-SQFT-F),ALL WALLS-Window-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-Window-U-Value(BTU/HR-SQFT-F),UNDERGRND-Window-U-Value(BTU/HR-SQFT-F),BUILDING-Window-U-Value(BTU/HR-SQFT-F),WALL CONDUCTION,ROOF CONDUCTION,WINDOW GLASS+FRM COND,WINDOW GLASS SOLAR,DOOR CONDUCTION,INTERNAL SURFACE COND,UNDERGROUND SURF COND,OCCUPANTS TO SPACE,LIGHT TO SPACE,EQUIPMENT TO SPACE,PROCESS TO SPACE,INFILTRATION,WALL CONDUCTION_loss,ROOF CONDUCTION_loss,WINDOW GLASS+FRM COND_loss,WINDOW GLASS SOLAR_loss,DOOR CONDUCTION_loss,INTERNAL SURFACE COND_loss,UNDERGROUND SURF COND_loss,OCCUPANTS TO SPACE_loss,LIGHT TO SPACE_loss,EQUIPMENT TO SPACE_loss,PROCESS TO SPACE_loss,INFILTRATION_loss,TOTAL-LOAD(KW)_loss,Equip(W/Sqft),Light(W/Sqft),WWR,EFLH,R-VAL-W,R-VAL-R,R-VAL-Wind,TOTAL-LOAD(KW),SHGC,Energy_Outcome(KWH)
0,0_0_0_0_0_0_0_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,195.43,102.12,495.76,250.93,0,0,0,1483.9699999999998,547.2,640.35,0,0,0.259,0.105,-1.557,0.414,0,0,0,0.001,0.195,0.202,0,0,-0.381,1,0.7,0.2657319041050323,3083.598015066293,8.474576271186441,19.607843137254903,1.0893246187363834,4740.914,0.3333333333333333,14619069
1,0_0_0_0_0_0_10_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1924785.6900000006,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,195.43,102.12,495.76,250.93,0,0,0,1483.9699999999998,547.2,1216.67,0,0,0.259,0.105,-1.557,0.414,0,0,0,0.001,0.195,0.383,0,0,-0.199,1.9,0.7,0.2657319041050323,3115.7694369506185,8.474576271186441,19.607843137254903,1.0893246187363834,5855.561,0.3333333333333333,18244584
2,0_0_0_0_0_0_11_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,2026090.1999999997,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,195.43,102.12,495.76,250.93,0,0,0,1483.9699999999998,547.2,1280.7,0,0,0.259,0.105,-1.557,0.414,0,0,0,0.001,0.195,0.403,0,0,-0.179,2,0.7,0.2657319041050323,3119.7675173364933,8.474576271186441,19.607843137254903,1.0893246187363834,5977.564,0.3333333333333333,18648617
3,0_0_0_0_0_0_1_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,195.43,102.12,495.76,250.93,0,0,0,1483.9699999999998,547.2,640.35,0,0,0.259,0.105,-1.557,0.414,0,0,0,0.001,0.195,0.202,0,0,-0.381,1,0.7,0.2657319041050323,3083.598015066293,8.474576271186441,19.607843137254903,1.0893246187363834,4740.914,0.3333333333333333,14619069
4,0_0_0_0_0_0_2_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1114349.6099999994,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,195.43,102.12,495.76,250.93,0,0,0,1483.9699999999998,547.2,704.39,0,0,0.259,0.105,-1.557,0.414,0,0,0,0.001,0.195,0.222,0,0,-0.361,1.1,0.7,0.2657319041050323,3084.554513722763,8.474576271186441,19.607843137254903,1.0893246187363834,4865.784,0.3333333333333333,15008774
5,0_0_0_0_0_0_3_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1215654.1199999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,195.43,102.12,495.76,250.93,0,0,0,1483.9699999999998,547.2,768.42,0,0,0.259,0.105,-1.557,0.414,0,0,0,0.001,0.195,0.242,0,0,-0.34,1.2,0.7,0.2657319041050323,3090.735155292508,8.474576271186441,19.607843137254903,1.0893246187363834,4986.171,0.3333333333333333,15410930
6,0_0_0_0_0_0_4_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1316958.6299999997,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,195.43,102.12,495.76,250.93,0,0,0,1483.9699999999998,547.2,832.46,0,0,0.259,0.105,-1.557,0.414,0,0,0,0.001,0.195,0.262,0,0,-0.32,1.3,0.7,0.2657319041050323,3069.990869608181,8.474576271186441,19.607843137254903,1.0893246187363834,5150.929,0.3333333333333333,15813304
7,0_0_0_0_0_0_5_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1418263.1400000006,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,195.43,102.12,495.76,250.93,0,0,0,1483.9699999999998,547.2,896.49,0,0,0.259,0.105,-1.557,0.414,0,0,0,0.001,0.195,0.282,0,0,-0.3,1.4,0.7,0.2657319041050323,3078.409983187202,8.474576271186441,19.607843137254903,1.0893246187363834,5267.416,0.3333333333333333,16215265
8,0_0_0_0_0_0_6_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1519567.6500000015,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,195.43,102.12,495.76,250.93,0,0,0,1483.9699999999998,547.2,960.53,0,0,0.259,0.105,-1.557,0.414,0,0,0,0.001,0.195,0.303,0,0,-0.28,1.5,0.7,0.2657319041050323,3082.383780798661,8.474576271186441,19.607843137254903,1.0893246187363834,5390.697,0.3333333333333333,16616191
9,0_0_0_0_0_0_7_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1620872.1600000001,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.051,0.118,0.078,0.024,0.064,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,195.43,102.12,495.76,250.93,0,0,0,1483.9699999999998,547.2,1024.56,0,0,0.259,0.105,-1.557,0.414,0,0,0,0.001,0.195,0.323,0,0,-0.26,1.6,0.7,0.2657319041050323,3092.483310914051,8.474576271186441,19.607843137254903,1.0893246187363834,5503.447,0.3333333333333333,17019309
