,FileName,ProjectName,ProjectTypology,Location,Floor-Total-Above-Grade(SQFT),Floor-Total-Below-Grade(SQFT),Floor-Total-Conditioned-Grade(SQFT),Floor-Total-UnConditioned-Grade(SQFT),Wall-Total-Above-Grade(SQFT),Power Lighting Total(W),Equipment-Total(W),N-Wall-Area(SQFT),S-Wall-Area(SQFT),E-Wall-Area(SQFT),W-Wall-Area(SQFT),NE-Wall-Area(SQFT),NW-Wall-Area(SQFT),SE-Wall-Area(SQFT),SW-Wall-Area(SQFT),ROOF-AREA(SQFT),ALL WALLS-Wall-AREA(SQFT),WALLS+ROOFS-AREA(SQFT),UNDERGRND-Wall-AREA(SQFT),BUILDING-Wall-AREA(SQFT),N-Wall-U-Value(BTU/HR-SQFT-F),S-Wall-U-Value(BTU/HR-SQFT-F),E-Wall-U-Value(BTU/HR-SQFT-F),W-Wall-U-Value(BTU/HR-SQFT-F),NE-Wall-U-Value(BTU/HR-SQFT-F),NW-Wall-U-Value(BTU/HR-SQFT-F),SE-Wall-U-Value(BTU/HR-SQFT-F),SW-Wall-U-Value(BTU/HR-SQFT-F),ROOF-U-Value(BTU/HR-SQFT-F),ALL WALLS-Wall-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-U-Value(BTU/HR-SQFT-F),UNDERGRND-Wall-U-Value(BTU/HR-SQFT-F),BUILDING-Wall-U-Value(BTU/HR-SQFT-F),N-Window-Area(SQFT),S-Window-Area(SQFT),E-Window-Area(SQFT),W-Window-Area(SQFT),NE-Window-Area(SQFT),NW-Window-Area(SQFT),SE-Window-Area(SQFT),SW-Window-Area(SQFT),ROOF-Window-Area(SQFT),ALL WALLS-Window-AREA(SQFT),WALLS+ROOFS-Window-AREA(SQFT),UNDERGRND-Window-AREA(SQFT),BUILDING-Window-AREA(SQFT),N-Window-U-Value(BTU/HR-SQFT-F),S-Window-U-Value(BTU/HR-SQFT-F),E-Window-U-Value(BTU/HR-SQFT-F),W-Window-U-Value(BTU/HR-SQFT-F),NE-Window-U-Value(BTU/HR-SQFT-F),NW-Window-U-Value(BTU/HR-SQFT-F),SE-Window-U-Value(BTU/HR-SQFT-F),SW-Window-U-Value(BTU/HR-SQFT-F),ROOF-Window-U-Value(BTU/HR-SQFT-F),ALL WALLS-Window-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-Window-U-Value(BTU/HR-SQFT-F),UNDERGRND-Window-U-Value(BTU/HR-SQFT-F),BUILDING-Window-U-Value(BTU/HR-SQFT-F),WALL CONDUCTION,ROOF CONDUCTION,WINDOW GLASS+FRM COND,WINDOW GLASS SOLAR,DOOR CONDUCTION,INTERNAL SURFACE COND,UNDERGROUND SURF COND,OCCUPANTS TO SPACE,LIGHT TO SPACE,EQUIPMENT TO SPACE,PROCESS TO SPACE,INFILTRATION,WALL CONDUCTION_loss,ROOF CONDUCTION_loss,WINDOW GLASS+FRM COND_loss,WINDOW GLASS SOLAR_loss,DOOR CONDUCTION_loss,INTERNAL SURFACE COND_loss,UNDERGROUND SURF COND_loss,OCCUPANTS TO SPACE_loss,LIGHT TO SPACE_loss,EQUIPMENT TO SPACE_loss,PROCESS TO SPACE_loss,INFILTRATION_loss,TOTAL-LOAD(KW)_loss,Equip(W/Sqft),Light(W/Sqft),WWR,EFLH,R-VAL-W,R-VAL-R,R-VAL-Wind,TOTAL-LOAD(KW),SHGC,Energy_Outcome(KWH),COP
0,0_0_0_0_0_0_0_1Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1013045.1,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,639.21,0,0,1.769,6.936,-278.207,62.843,0,0,0,0,19.259,21.897,0,0,-165.503,1,0.7,0.265731888,2920.573897,8.474576271,19.60784314,1.089324619,4904.433,0.333333333,14740553,5.5
1,0_0_0_0_0_0_0_2Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1013045.1,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,639.21,0,0,1.769,6.936,-278.207,62.843,0,0,0,0,19.259,21.897,0,0,-165.503,1,0.7,0.265731888,2920.573897,8.474576271,19.60784314,1.089324619,4904.433,0.333333333,14405965,6
2,0_0_0_0_0_0_0_3Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1013045.1,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,639.21,0,0,1.769,6.936,-278.207,62.843,0,0,0,0,19.259,21.897,0,0,-165.503,1,0.7,0.265731888,2920.573897,8.474576271,19.60784314,1.089324619,4904.433,0.333333333,14122571,6.5
3,0_0_0_0_0_0_0_4Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1013045.1,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,639.21,0,0,1.769,6.936,-278.207,62.843,0,0,0,0,19.259,21.897,0,0,-165.503,1,0.7,0.265731888,2920.573897,8.474576271,19.60784314,1.089324619,4904.433,0.333333333,13879821,7
4,0_0_0_0_0_0_0_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1013045.1,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,639.21,0,0,1.769,6.936,-278.207,62.843,0,0,0,0,19.259,21.897,0,0,-165.503,1,0.7,0.265731888,2920.573897,8.474576271,19.60784314,1.089324619,4904.433,0.333333333,14323754,6.17
5,0_0_0_0_0_0_10_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1924785.69,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,1214.49,0,0,1.195,4.378,-269.658,60.383,0,0,0,0,18.166,39.235,0,0,-146.301,1.9,0.7,0.265731888,2996.977285,8.474576271,19.60784314,1.089324619,5983.362,0.333333333,17932009,6.17
6,0_0_0_0_0_0_11_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,2026090.2,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,1278.41,0,0,1.195,4.378,-269.658,60.383,0,0,0,0,18.166,41.3,0,0,-144.236,2,0.7,0.265731888,3001.545382,8.474576271,19.60784314,1.089324619,6108.522,0.333333333,18335009,6.17
7,0_0_0_0_0_0_1_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1013045.1,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,639.21,0,0,1.769,6.936,-278.207,62.843,0,0,0,0,19.259,21.897,0,0,-165.503,1,0.7,0.265731888,2920.573897,8.474576271,19.60784314,1.089324619,4904.433,0.333333333,14323754,6.17
8,0_0_0_0_0_0_2_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1114349.61,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,703.13,0,0,1.769,6.936,-278.207,62.843,0,0,0,0,19.259,24.086,0,0,-163.313,1.1,0.7,0.265731888,2928.443376,8.474576271,19.60784314,1.089324619,5025.838,0.333333333,14717879,6.17
9,0_0_0_0_0_0_3_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1215654.12,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,767.05,0,0,1.769,6.936,-278.207,62.843,0,0,0,0,19.259,26.276,0,0,-161.123,1.2,0.7,0.265731888,2940.42153,8.474576271,19.60784314,1.089324619,5141.27,0.333333333,15117497,6.17
