Polygon,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,Total Vertices
B1Floor Polygon,"(0.0, 1.3)","(817.6, 1.3)","(817.6, 431.5)","(0.0, 431.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
B1Space Polygon 1,"(0.0, 0.0)","(197.9, 0.0)","(197.9, 817.6)","(-0.0, 817.6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
B1Space Polygon 2,"(0.0, 0.0)","(333.1, 0.0)","(333.1, 232.3)","(0.0, 232.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
B1Space Polygon 3,"(0.0, 0.0)","(232.3, -0.0)","(232.3, 484.5)","(0.0, 484.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
GF_1Floor Polygon,"(643.05, 65.95)","(643.05, 99.75)","(607.6, 99.75)","(607.6, 65.95)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
GF_1Space Polygon 1,"(0.0, 0.0)","(33.8, 0.0)","(33.8, 9.85)","(0.0, 9.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
GF_1Space Polygon 2,"(0.0, 0.0)","(15.75, 0.0)","(15.75, 33.8)","(0.0, 33.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
GF_1Space Polygon 3,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 33.8)","(0.0, 33.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
GF_2Floor Polygon,"(173.9, 65.95)","(173.9, 99.75)","(138.45, 99.75)","(138.45, 65.95)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
GF_2Space Polygon 1,"(0.0, 0.0)","(33.8, 0.0)","(33.8, 9.85)","(0.0, 9.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
GF_2Space Polygon 2,"(0.0, 0.0)","(33.8, 0.0)","(33.8, 15.75)","(0.0, 15.75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
GF_2Space Polygon 3,"(0.0, 0.0)","(33.8, 0.0)","(33.8, 9.85)","(0.0, 9.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
