Name,Layers,Material,Thickness(ft),Conductivity,Density,SpecificHeat,Layer_R_Value
Reinforce_Concrete_200[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200[ENS],L2,BrkTile,0.246062992,0.4610844,118.11756,0.21018448,0.533661499
Reinforce_Concrete_200[ENS],L3,RCC,0.492125984,0.912924,142.83984,0.21018448,0.539065666
Reinforce_Concrete_200[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200_PUF25[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200_PUF25[ENS],L2,BrkTile,0.246062992,0.4610844,118.11756,0.21018448,0.533661499
Reinforce_Concrete_200_PUF25[ENS],L3,PUF,0.082020997,0.0150228,2.4972,0.37976514,5.459767645
Reinforce_Concrete_200_PUF25[ENS],L4,RCC,0.492125984,0.912924,142.83984,0.21018448,0.539065666
Reinforce_Concrete_200_PUF25[ENS],L5,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200_PUF75[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200_PUF75[ENS],L2,BrkTile,0.246062992,0.4610844,118.11756,0.21018448,0.533661499
Reinforce_Concrete_200_PUF75[ENS],L3,PUF,0.246062992,0.0150228,2.4972,0.37976514,16.37930293
Reinforce_Concrete_200_PUF75[ENS],L4,RCC,0.492125984,0.912924,142.83984,0.21018448,0.539065666
Reinforce_Concrete_200_PUF75[ENS],L5,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200_PUF100[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200_PUF100[ENS],L2,BrkTile,0.246062992,0.4610844,118.11756,0.21018448,0.533661499
Reinforce_Concrete_200_PUF100[ENS],L3,PUF,0.32808399,0.0150228,2.4972,0.37976514,21.83907058
Reinforce_Concrete_200_PUF100[ENS],L4,RCC,0.492125984,0.912924,142.83984,0.21018448,0.539065666
Reinforce_Concrete_200_PUF100[ENS],L5,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200_EPS5[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200_EPS5[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200_EPS5[ENS],L2,BrkTile,0.246062992,0.4610844,118.11756,0.21018448,0.533661499
Reinforce_Concrete_200_EPS5[ENS],L2,BrkTile,0.246062992,0.4610844,118.11756,0.21018448,0.533661499
Reinforce_Concrete_200_EPS5[ENS],L3,EPS,0.016404199,0.0219564,1.74804,0.289720198,0.747126099
