Name,Layers,Material,Thickness(ft),Conductivity,Density,SpecificHeat,Layer_R_Value
Solid_Burnt_Brick-230[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Burnt_Brick-230[ENS],L2,SBB,0.754593176,0.566244,119.8656,0.1910768,1.332629001
Solid_Burnt_Brick-230[ENS],L3,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Burnt_Brick-230_XPS-5[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Burnt_Brick-230_XPS-5[ENS],L2,XPS,0.016404199,0.0161784,2.18505,0.289720198,1.013956848
Solid_Burnt_Brick-230_XPS-5[ENS],L3,SBB,0.754593176,0.566244,119.8656,0.1910768,1.332629001
Solid_Burnt_Brick-230_XPS-5[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Burnt_Brick-230_XPS-10[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Burnt_Brick-230_XPS-10[ENS],L2,XPS,0.032808399,0.0161784,2.18505,0.289720198,2.027913697
Solid_Burnt_Brick-230_XPS-10[ENS],L3,SBB,0.754593176,0.566244,119.8656,0.1910768,1.332629001
Solid_Burnt_Brick-230_XPS-10[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Burnt_Brick-230_EPS-25[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Burnt_Brick-230_EPS-25[ENS],L2,EPS,0.082020997,0.0219564,1.74804,0.289720198,3.735630494
Solid_Burnt_Brick-230_EPS-25[ENS],L3,SBB,0.754593176,0.566244,119.8656,0.1910768,1.332629001
Solid_Burnt_Brick-230_EPS-25[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Burnt_Brick-230_EPS-50[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Burnt_Brick-230_EPS-50[ENS],L2,EPS,0.164041995,0.0219564,1.74804,0.289720198,7.471260988
Solid_Burnt_Brick-230_EPS-50[ENS],L3,SBB,0.754593176,0.566244,119.8656,0.1910768,1.332629001
Solid_Burnt_Brick-230_EPS-50[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
AAC_Block_Wall-200[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
AAC_Block_Wall-200[ENS],L2,AAC,0.656167979,0.1063152,40.08006,0.29616904,6.171911251
AAC_Block_Wall-200[ENS],L3,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
AAC_Block_Wall-200_EPS-25[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
AAC_Block_Wall-200_EPS-25[ENS],L2,EPS,0.082020997,0.0219564,1.74804,0.289720198,3.735630494
AAC_Block_Wall-200_EPS-25[ENS],L3,AAC,0.656167979,0.1063152,40.08006,0.29616904,6.171911251
AAC_Block_Wall-200_EPS-25[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
AAC_Block_Wall-200_EPS-50[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
AAC_Block_Wall-200_EPS-50[ENS],L2,EPS,0.164041995,0.0219564,1.74804,0.289720198,7.471260988
AAC_Block_Wall-200_EPS-50[ENS],L3,AAC,0.656167979,0.1063152,40.08006,0.29616904,6.171911251
AAC_Block_Wall-200_EPS-50[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
AAC_Block_Wall-200_PUF-50[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
AAC_Block_Wall-200_PUF-50[ENS],L2,PUF,0.164041995,0.0150228,2.4972,0.37976514,10.91953529
AAC_Block_Wall-200_PUF-50[ENS],L3,AAC,0.656167979,0.1063152,40.08006,0.29616904,6.171911251
AAC_Block_Wall-200_PUF-50[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Fly_Ash_Brick-230_PUF-25[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Fly_Ash_Brick-230_PUF-25[ENS],L2,PUF,0.082020997,0.0150228,2.4972,0.37976514,5.459767645
Fly_Ash_Brick-230_PUF-25[ENS],L3,FAB,0.754593176,0.4945968,103.0095,0.22212678,1.525673389
Fly_Ash_Brick-230_PUF-25[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Fly_Ash_Brick-230_PUF-50[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Fly_Ash_Brick-230_PUF-50[ENS],L2,PUF,0.164041995,0.0150228,2.4972,0.37976514,10.91953529
Fly_Ash_Brick-230_PUF-50[ENS],L3,FAB,0.754593176,0.4945968,103.0095,0.22212678,1.525673389
Fly_Ash_Brick-230_PUF-50[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200[ENS],L2,SCB,0.656167979,0.8066088,151.51761,0.0477692,0.813489735
Solid_Concrete_Block-200[ENS],L3,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200_XPS-5[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200_XPS-5[ENS],L2,XPS,0.016404199,0.0161784,2.18505,0.289720198,1.013956848
Solid_Concrete_Block-200_XPS-5[ENS],L3,SBB,0.754593176,0.566244,119.8656,0.1910768,1.332629001
Solid_Concrete_Block-200_XPS-5[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200_EPS-15[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200_EPS-15[ENS],L2,EPS,0.049212598,0.0219564,1.74804,0.289720198,2.241378296
Solid_Concrete_Block-200_EPS-15[ENS],L3,SBB,0.754593176,0.566244,119.8656,0.1910768,1.332629001
Solid_Concrete_Block-200_EPS-15[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
