State,Location,State_Location,Climate,Latitude,Lati_unit,Longitude,Longi_unit
Andaman Nicobar,Nicobar,"Andaman Nicobar, Nicobar",Warm & Humid,7,N,93.7842,E
Andaman Nicobar,North Middle Andaman,"Andaman Nicobar, North Middle Andaman",Warm & Humid,12.88,N,92.85,E
Andaman Nicobar,South Andaman,"Andaman Nicobar, South Andaman",Warm & Humid,11.56,N,92.68,E
Andhra Pradesh,Anantapur,"Andhra Pradesh, Anantapur",Warm & Humid,14,N,77.65,E
Andhra Pradesh,Chittoor,"Andhra Pradesh, Chittoor",Warm & Humid,13,N,79.13,E
Andhra Pradesh,East Godavari,"Andhra Pradesh, East Godavari",Warm & Humid,17.27,N,81.83,E
Andhra Pradesh,Guntur,"Andhra Pradesh, Guntur",Warm & Humid,16.3,N,80.48,E
Andhra Pradesh,Kadapa,"Andhra Pradesh, Kadapa",Warm & Humid,14.47,N,78.87,E
Andhra Pradesh,Krishna,"Andhra Pradesh, Krishna",Warm & Humid,16.66,N,80.71,E
Andhra Pradesh,Kurnool,"Andhra Pradesh, Kurnool",Warm & Humid,15.83,N,81.17,E
Andhra Pradesh,Nellore,"Andhra Pradesh, Nellore",Warm & Humid,14,N,80.03,E
Andhra Pradesh,Prakasam,"Andhra Pradesh, Prakasam",Warm & Humid,15,N,78.47,E
Andhra Pradesh,Srikakulam,"Andhra Pradesh, Srikakulam",Warm & Humid,18,N,83.97,E
Andhra Pradesh,Visakhapatnam,"Andhra Pradesh, Visakhapatnam",Warm & Humid,17,N,83.25,E
Andhra Pradesh,Vizianagaram,"Andhra Pradesh, Vizianagaram",Warm & Humid,18,N,83.45,E
Andhra Pradesh,West Godavari,"Andhra Pradesh, West Godavari",Warm & Humid,16,N,82.3,E
Arunachal Pradesh,Anjaw,"Arunachal Pradesh, Anjaw",Warm & Humid,29,N,81.17,E
Arunachal Pradesh,Central Siang,"Arunachal Pradesh, Central Siang","Cold,Warm & Humid",28.21,N,94.72,E
Arunachal Pradesh,Changlang,"Arunachal Pradesh, Changlang",Warm & Humid,16,N,75.75,E
Arunachal Pradesh,Dibang Valley,"Arunachal Pradesh, Dibang Valley",Warm & Humid,29,N,97.83,E
Arunachal Pradesh,East Kameng,"Arunachal Pradesh, East Kameng","Cold,Warm & Humid",27,N,93.4,E
Arunachal Pradesh,East Siang,"Arunachal Pradesh, East Siang",Warm & Humid,28.1,N,95.14,E
Arunachal Pradesh,Kamle,"Arunachal Pradesh, Kamle",,27.73,N,94.09,E
Arunachal Pradesh,Kra Daadi,"Arunachal Pradesh, Kra Daadi",Cold,27.66,N,93.62,E
Arunachal Pradesh,Kurung Kumey,"Arunachal Pradesh, Kurung Kumey",Cold,27.83,N,93.42,E
Arunachal Pradesh,Lepa Rada,"Arunachal Pradesh, Lepa Rada",,27.98,N,94.68,E
Arunachal Pradesh,Lohit,"Arunachal Pradesh, Lohit",Warm & Humid,29,N,97.4,E
